Organization,Country,Publications,Citations,Altmetric
National Chengchi University,Taiwan,11,16,207
National Economics University,Vietnam,11,94,1
National University Hospital,Singapore,11,157,2852
National University of La Plata,Argentina,11,71,194
National University of San Marcos,Peru,11,9,1
Obafemi Awolowo University,Nigeria,11,35,5
Politecnico di Milano,Italy,11,78,985
"Rutgers, The State University of New Jersey",United States,11,345,503
Statens Serum Institut,Denmark,11,99,1669
Tallinn University,Estonia,11,23,6
Tampere University,Finland,11,125,171
Tun Hussein Onn University of Malaysia,Malaysia,11,29,4
Tunis El Manar University,Tunisia,11,16,7
Universidad del Rosario,Colombia,11,57,143
Universiti Teknologi Petronas,Malaysia,11,54,4
University of Aberdeen,United Kingdom,11,60,212
University of Baghdad,Iraq,11,84,204
University of Bucharest,Romania,11,68,26
University of Calabar,Nigeria,11,41,6
University of Illinois at Chicago,United States,11,82,323
University of Macau,Macau,11,115,38
University of Newcastle Australia,Australia,11,56,400
University of Peloponnese,Greece,11,16,4
University of Siena,Italy,11,7,29
University of South Australia,Australia,11,80,137
University of West Attica,Slovakia,11,152,52
Victor Babeș University of Medicine and Pharmacy Timișoara,Romania,11,58,5
Aix-Marseille University,France,10,23,3418
Alexandru Ioan Cuza University,Romania,10,21,48
Al-Farabi Kazakh National University,Kazakhstan,10,6,
Brown University,United States,10,1040,19674
Cadi Ayyad University,Morocco,10,100,4
Chang Gung University,Taiwan,10,99,355
Corvinus University of Budapest,Hungary,10,18,7
International Centre for Diarrhoeal Disease Research,Bangladesh,10,82,633
Iran University of Medical Sciences,Iran,10,179,38
King Saud bin Abdulaziz University for Health Sciences,Saudi Arabia,10,29,24
La Trobe University,Australia,10,97,115
Leiden University Medical Center,Netherlands,10,74,427
Maastricht University Medical Centre,Netherlands,10,74,384
Manouba University,Tunisia,10,12,4
Ministry of Public Health,Multiple countries,10,130,167
National Chung Cheng University,Taiwan,10,8,5
National Kaohsiung University of Science and Technology,Taiwan,10,80,4
National Technical University of Athens,Greece,10,48,6
Qingdao University,China,10,242,323
Soochow University,Taiwan,10,58,54
South African Medical Research Council,South Africa,10,37,113
South China University of Technology,China,10,110,52
Sumy State University,Ukraine,10,30,1
Swansea University,United Kingdom,10,103,238
Swedish University of Agricultural Sciences,Sweden,10,111,68
Temple University,United States,10,140,555
The University of Texas MD Anderson Cancer Center,United States,10,38,215
Universidad Autónoma de Nuevo León,Mexico,10,28,22
Universidad Continental,Peru,10,72,21
Universidad de Las Américas,Chile,10,99,338
Universiti Malaysia Perlis,Malaysia,10,15,2
University Hospital of Basel,Switzerland,10,183,917
University Hospital of Lausanne,France,10,110,564
University of Beira Interior,Brazil,10,69,39
University of Brasília,Brazil,10,49,205
